Historic Country Changes,,,,,
,,,,,
id,date,old_areas,new_areas,old_labels,new_labels
2003-JUG-name_change,2003,,,YUG_SRB,SRB+MNE
1993-CSSR-splitup,1993,CSSR,"CZE, SVK",CSSR,"CZE, SVK"
1992-JUG-splitup,1992,SFY,"SVN, HRV, SRB+MNE+KSV, BIH, MKD",SFY,"SVN, YUG_SRB, HRV, BIH, MKD"
1990-ALB-name_change,1990,,,ALB_PR,ALB
1990-DEU-union,1990,"BRD, DDR",DEU,"BRD, DDR",DEU
1990-ROU-name_change,1990,,,ROU_PR,ROU
1990-BGR-name_change,1990,,,BGR_PR,BGR
1989-HUN-name_change,1989,,,HUN_PR,HUN
1989-POL-name_change,1989,,,POL_PR,POL
1979-GRL-separation,1979,DNK+GRL,"DNK, GRL",,GRL
1974-PRT-name_change,1974,,,PRT_REP,PRT
1964-MLT-separation,1964,GBR+NIRL+MLT,"GBR+NIRL, MLT",,MLT
1956-SAAR-BRD-union,1956,"BRD-SAAR, SAAR",BRD,SAAR,
1954-TRST-splitup,1954,"TRST, ITA-TRST, SFY-TRST","ITA, SFY",TRST,
1949-HUN-name_change,1949,,,HUN_REP,HUN_PR
1949-BRD-creation,1949,DEU-SAAR,"BRD-SAAR, DDR",DEU_occ,"BRD, DDR"
1948-FRO-separation,1948,DNK+GRL+FRO,"DNK+GRL, FRO",,FRO
1947-TRST-separation,1947,"SFY-TRST-WestSVN, ITA-TRST+DODEC","SFY-TRST, ITA-TRST, TRST",,TRST
1947-SAAR-separation,1947,DEU,"DEU-SAAR, SAAR",,SAAR
1947-FIN-border_change,1947,FIN+Petsamo_1944-1947,FIN,,
1947-ROU-BGR-border_change,1947,"ROU_1945-1947, BGR_1941-1947","ROU, BGR","ROU, BGR","ROU_PR, BGR_PR"
1945-SFY-creation,1945,,,YUG,SFY
1945-POL-init,1945,,POL,,POL_PR
1945-DEUR-occupation,1945,DEUR_1919-1945,DEU,DEUR,DEU_occ
1945-ROU-UKR-border_change,1945,ROU_1930-1945,ROU_1945-1947,,
1944-FIN-border_change,1944,FIN+Petsamo_1940-1944,FIN+Petsamo_1944-1947,,
1940-FIN-border_change,1940,FIN+Karelia+Petsamo_1920-1940,FIN+Petsamo_1940-1944,FIN+Karelia,FIN
1939-ESP-name_change,1939,,,ESP_REP,ESP
1938-CSSR-border_change,1938,CSSR_1918-1938,CSSR,,
1937-IRL-name_change,1937,,,IRL_free,IRL
1933-DEUR-name_change,1933,,,WEIMREP,DEUR
1933-PRT-name_change,1933,,,PRT,PRT_REP
1931-ESP-name_change,1931,,,ESP,ESP_REP
1929-VAT-separation,1929,ITA-TRST+DODEC+VAT,"ITA-TRST+DODEC, VAT",,VAT
1926-PRT-name_change,1926,,,PRT_REP,PRT
1926-PRT-name_change,1926,,,PRT_REP,PRT
1925-NOR+SVJ-union,1925,"NOR-SVJ, SVJ",NOR,SVJ,
1922-IRL-separation,1922,GBR+IRL+MLT,"GBR+NIRL+MLT, IRL",,IRL_free
1920-FIN-border_change,1920,FIN+Karelia_1826-1920,FIN+Karelia+Petsamo_1920-1940,,
1919-SouthTyrol-to-ITA,1919,ITA-SouthTyrol+DODEC+VAT,ITA-TRST+DODEC+VAT,,
1919-DEUR-splitup,1919,"DEUR_1871-1919, DNK-Schleswig+GRL+FRO, FRA-Elsass, BEL-EupMalm-MORS_1831-1919","DEUR_1919-1945, DNK+GRL+FRO, FRA, BEL",DEUR,WEIMREP
1918-ISL-separation,1918,DNK-Schleswig+GRL+FRO+ISL,"DNK-Schleswig+GRL+FRO, ISL",,ISL
1917-FIN-name_change,1917,,,FIN+Karelia_Grandduchy,FIN+Karelia
1910-PRT-name_change,1910,,,PRT_KNG,PRT_REP
1905-SWNO-splitup,1905,SWNO,"SWE, NOR-SVJ",SWNO,"SWE, NOR"
1874-ESP_name_change,1874,,,ESP_REP,ESP
1873-ESP-name_change,1873,,,ESP,ESP_REP
1991-CCCP_splitup,1991,CCCP,"EST, LVA, LTU, BLR, UKR, MDA, RUS",CCCP,"EST, LVA, LTU, BLR, UKR, MDA, RUS"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
BEL-init,1831,,BEL-EupMalm-MORS_1831-1919,,BEL
LUX-init,1839,,LUX,,LUX
NLD-init,1867,,NLD,,NLD
LIE-init,1500,,LIE,,LIE
MCO-init,1861,,MCO,,MCO
CHE-init,1860,,CHE,,CHE
FRA-init,1871,,FRA-Elsass,,FRA
MORS-init,1816,,MORS,,MORS
CCCP-init,1945,,CCCP,,CCCP
ALB_PR-init,1944,,ALB,,ALB_PR
AND-init,1239,,AND,,AND
AUT-init,1919,,AUT,,AUT
BGR-init,1941,,BGR_1941-1947,,BGR
CSSR-init,1918,,CSSR_1918-1938,,CSSR
CYP-init,1945,,CYP,,CYP
DEUR-init,1871,,DEUR_1871-1919,,DEUR
DNK-init,1864,,DNK-Schleswig+GRL+FRO+ISL,,DNK
ESP-init,1813,,ESP,,ESP
FIN-init,1826,,FIN+Karelia_1826-1920,,FIN+Karelia_Grandduchy
GIB-init,1713,,GIB,,GIB
GRC-init,1945,,GRC,,GRC
HUN-init,1946,,HUN,,HUN_REP
IMN-init,1405,,IMN,,IMN
ITA-init,1866,,ITA-SouthTyrol+DODEC+VAT,,ITA
JUG-init,1918,,SFY-TRST-WestSVN,,YUG
POR-init,1139,,PRT,,PRT_KNG
ROU-init,1930,,ROU_1930-1945,,ROU
SMR-init,1500,,SMR,,SMR
SVJ-init,1500,,SVJ,,SVJ
SWE+NOR-init,1814,,SWNO,,SWNO
TUR-init,1945,,TUR,,TUR
UK-init,1801,,GBR+IRL+MLT,,UK